"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 22 02:15:41 MSK 2020","Wed Apr 22 02:15:53 MSK 2020","12201","","tests.UiTests","","tests.UiTests","searchTest","Проверка, что результатов поиска больше 1000",""
"passed","Wed Apr 22 02:15:34 MSK 2020","Wed Apr 22 02:15:41 MSK 2020","6745","","tests.ApiTests","","tests.ApiTests","accountsTest","Проверка, что в запросах к списку счетов account_id не пустой",""
